Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TRI;KBN;0,0165;0,1609;0,11202;0,18158;0,011911765;0,008552632;0,0004;1,436350652;9,751515152;0,886110805;13,50765432;18,81292308;402,25;11,00484848;1,620960543;15,24375309;21,23089231;453,95;0,721925134;0,106336053;1,392760181;29,77941176;0,147295126;1,929230769;41,25;280,05;280,05;0,046769231;G
TRI;KBN;0,018;0,1418;0,12522;0,19334;0,012176471;0,007526316;0,0004;1,132406964;7,877777778;0,733422985;11,64541063;18,84055944;354,5;10,74111111;1,544002556;15,87816425;25,68853147;483,35;0,676470588;0,097240621;1,617852735;30,44117647;0,143747005;2,391608392;45;313,05;313,05;0,053146853;G
TRI;KBN;0,0176;0,1411;0,12216;0,196653333;0,012070588;0,007731579;0,0004;1,155042567;8,017045455;0,717506272;11,68957115;18,24982982;352,75;11,17348485;1,609801353;16,29194282;25,43508055;491,6333333;0,685828877;0,098809661;1,561206103;30,17647059;0,144073346;2,276378489;44;305,4;305,4;0,051735875;G
TRI;KBN;0,0189;0,1754;0,10182;0,181626667;0,012123529;0,008826316;0,0006;1,72264781;9,28042328;0,965717222;14,46773411;19,87239117;292,3333333;9,609876543;1,78380148;14,98133592;20,57785728;302,7111111;0,641456583;0,119068252;1,373566242;20,20588235;0,185621685;2,141323792;31,5;169,7;169,7;0,067978533;G
AHB;KBN;0,0195;0,1334;0,0825;0,218773333;0,020541176;0,006089474;0,0003;1,616969697;6,841025641;0,60976353;6,494272623;21,90665514;444,6666667;11,2191453;2,65179798;10,65047728;35,92647652;729,2444444;1,053393665;0,248983957;3,373226905;68,47058824;0,236363636;3,202247191;65;275;275;0,049265341;G
AHB;KBN;0,0197;0,1236;0,08232;0,23142;0,020488235;0,005884211;0,0003;1,501457726;6,274111675;0,534093855;6,032730405;21,00536673;412;11,74720812;2,81122449;11,2952627;39,32898032;771,4;1,040011944;0,248885268;3,481900452;68,29411765;0,23931001;3,347942755;65,66666667;274,4;274,4;0,0509839;G
AHB;KBN;0,0204;0,1196;0,0771;0,242713333;0,018529412;0,005815789;0,0003;1,551232166;5,862745098;0,492762381;6,454603175;20,56470588;398,6666667;11,89771242;3,148032858;13,09881481;41,73351433;809,0444444;0,908304498;0,240329595;3,186052702;61,76470588;0,26459144;3,507692308;68;257;257;0,05158371;G
AHB;KBN;0,0205;0,1318;0,07776;0,232493333;0,020647059;0,006089474;0,0003;1,694958848;6,429268293;0,566897976;6,383475783;21,64390666;439,3333333;11,34113821;2,989883402;11,26036087;38,1795448;774,9777778;1,007173601;0,265522876;3,390614673;68,82352941;0,263631687;3,366464996;68,33333333;259,2;259,2;0,049265341;G
AHB;KBN;0,0206;0,133;0,0816;0,225866667;0,019429412;0,006021053;0,0003;1,629901961;6,45631068;0,588842975;6,845292159;22,08916084;443,3333333;10,96440129;2,767973856;11,62498739;37,51282051;752,8888889;0,943175328;0,238105536;3,226912793;64,76470588;0,25245098;3,421328671;68,66666667;272;272;0,049825175;G
AHB;KBN;0,0203;0,1292;0,0804;0,226473333;0,019641176;0,005747368;0,0003;1,606965174;6,36453202;0,570486592;6,57801737;22,47985348;430,6666667;11,15632184;2,816832504;11,53053809;39,40470085;754,9111111;0,967545639;0,24429324;3,417420814;65,47058824;0,252487562;3,532051282;67,66666667;268;268;0,052197802;G
AHB;KBN;0,0207;0,131;0,0804;0,228433333;0,019905882;0,006157895;0,0003;1,629353234;6,328502415;0,573471472;6,580969267;21,27350427;436,6666667;11,03542673;2,841210614;11,47566982;37,0960114;761,4444444;0,961636829;0,247585601;3,232579186;66,35294118;0,257462687;3,361538462;69;268;268;0,048717949;G
AHB;KBN;0,0214;0,1346;0,0849;0,230066667;0,020064706;0,006705263;0,0003;1,585394582;6,289719626;0,585047812;6,708296687;20,07378336;448,6666667;10,75077882;2,709854731;11,46623669;34,31135531;766,8888889;0,937603079;0,236333403;2,992381568;66,88235294;0,252061249;3,191522763;71,33333333;283;283;0,044740973;G
AHB;KBN;0,0203;0,1246;0,0768;0,226006667;0,019005882;0,005884211;0,0003;1,622395833;6,137931034;0,551311171;6,555865057;21,17531306;415,3333333;11,13333333;2,942795139;11,89140617;38,40900417;753,3555556;0,936250362;0,247472426;3,229980006;63,35294118;0,264322917;3,449910555;67,66666667;256;256;0,0509839;G
AHB;KBN;0,0241;0,1714;0,06996;0,21126;0,021335294;0,006705263;0,0004;2,449971412;7,112033195;0,811322541;8,033636614;25,56200942;428,5;8,765975104;3,019725557;9,901902399;31,50659341;528,15;0,885281914;0,304964181;3,181872749;53,33823529;0,344482561;3,594191523;60,25;174,9;174,9;0,059654631;G
AHB;KBN;0,0212;0,1373;0,08028;0,22918;0,019852941;0,0065;0,0004;1,710264076;6,476415094;0,599092416;6,915851852;21,12307692;343,25;10,81037736;2,854758346;11,54388148;35,25846154;572,95;0,936459489;0,247296228;3,054298643;49,63235294;0,264075735;3,261538462;53;200,7;200,7;0,061538462;G
AHB;KBN;0,02;0,1287;0,08082;0,227593333;0,019270588;0,006363158;0,0003;1,592427617;6,435;0,565482293;6,678571429;20,22580645;429;11,37966667;2,816052132;11,81039886;35,76735594;758,6444444;0,963529412;0,23843836;3,028462998;64,23529412;0,247463499;3,143093466;66,66666667;269,4;269,4;0,047146402;G
AHB;KBN;0,02;0,1169;0,10092;0,227126667;0,019058824;0,005815789;0,0003;1,158343242;5,845;0,514690775;6,133641975;20,10045249;389,6666667;11,35633333;2,250561501;11,91713992;39,053454;757,0888889;0,952941176;0,188850808;3,277082779;63,52941176;0,198176774;3,438914027;66,66666667;336,4;336,4;0,05158371;G
AHB;KBN;0,0209;0,1346;0,07932;0,22722;0,021758824;0,006705263;0,0004;1,696923853;6,440191388;0,592377432;6,185996215;20,07378336;336,5;10,87177033;2,864599092;10,44266018;33,88681319;568,05;1,041092035;0,274316989;3,245036476;54,39705882;0,263489662;3,116954474;52,25;198,3;198,3;0,059654631;G
AHB;KBN;0,0234;0,1574;0,07176;0,22162;0,020647059;0,006363158;0,0004;2,19342252;6,726495726;0,710224709;7,623361823;24,73614557;393,5;9,470940171;3,088350056;10,73373219;34,82861869;554,05;0,882352941;0,287723785;3,244781784;51,61764706;0,326086957;3,677419355;58,5;179,4;179,4;0,062861869;G
AHB;KBN;0,0203;0,131;0,07854;0,227266667;0,019376471;0,0065;0,0003;1,667939903;6,45320197;0,576415371;6,760777171;20,15384615;436,6666667;11,1954023;2,893642305;11,72900223;34,96410256;757,5555556;0,95450594;0,246708309;2,980995475;64,58823529;0,258467023;3,123076923;67,66666667;261,8;261,8;0,046153846;G
AHB;KBN;0,0215;0,1291;0,07986;0,23898;0,020858824;0,006431579;0,0003;1,616579013;6,004651163;0,54021257;6,189227298;20,07283142;430,3333333;11,11534884;2,992486852;11,457022;37,15728314;796,6;0,970177839;0,261192381;3,243188601;69,52941176;0,269221137;3,342880524;71,66666667;266,2;266,2;0,046644845;G
AHB;KBN;0,0216;0,1292;0,08232;0,233286667;0,019323529;0,006294737;0,0003;1,569484937;5,981481481;0,553825051;6,686149163;20,52508361;430,6666667;10,80030864;2,833900227;12,07267377;37,06059086;777,6222222;0,894607843;0,234736752;3,069791462;64,41176471;0,262390671;3,431438127;72;274,4;274,4;0,047658863;G
AHB;KBN;0,0211;0,1254;0,09474;0,22232;0,019641176;0,006021053;0,0003;1,323622546;5,943127962;0,564051817;6,384546271;20,82692308;418;10,53649289;2,34663289;11,31907757;36,92377622;741,0666667;0,930861444;0,207316619;3,262083505;65,47058824;0,222714798;3,504370629;70,33333333;315,8;315,8;0,049825175;G
AHB;KBN;0,021;0,1287;0,09132;0,225166667;0,019852941;0,006431579;0,0003;1,409329829;6,128571429;0,57157661;6,482666667;20,0106383;429;10,72222222;2,465688422;11,3417284;35,00954719;750,5555556;0,945378151;0,217399706;3,086791181;66,17647059;0,229960578;3,265139116;70;304,4;304,4;0,046644845;G
AHB;KBN;0,0206;0,1361;0,08148;0,223953333;0,021388235;0,006568421;0,0004;1,670348552;6,606796117;0,607715893;6,363311331;20,72035256;340,25;10,87152104;2,748568156;10,47086542;34,0954594;559,8833333;1,038263849;0,262496751;3,256221719;53,47058824;0,252822779;3,136217949;51,5;203,7;203,7;0,060897436;G
AHB;KBN;0,0204;0,1297;0,08154;0,233706667;0,020064706;0,006363158;0,0003;1,590630365;6,357843137;0,554969192;6,464086778;20,38296112;432,3333333;11,45620915;2,866159758;11,64764976;36,72809484;779,0222222;0,983564014;0,246071939;3,153262297;66,88235294;0,250183959;3,205955335;68;271,8;271,8;0,047146402;G
AHB;KBN;0,0196;0,1223;0,08388;0,241033333;0,019641176;0,005542105;0,0003;1,458035289;6,239795918;0,5073987;6,226714585;22,0674264;407,6666667;12,29761905;2,873549515;12,27183788;43,49129471;803,4444444;1,00210084;0,234158041;3,543991956;65,47058824;0,233667144;3,536562203;65,33333333;279,6;279,6;0,054131054;G
AHB;KBN;0,0204;0,1289;0,0717;0,25004;0,015829412;0,006089474;0,0003;1,79776848;6,318627451;0,515517517;8,143069491;21,16767502;429,6666667;12,25686275;3,487308229;15,7959123;41,06101988;833,4666667;0,775951557;0,220772828;2,599471249;52,76470588;0,284518828;3,350043215;68;239;239;0,049265341;G
AHB;KBN;0,0204;0,1308;0,07374;0,246866667;0,016835294;0,006226316;0,0003;1,773799837;6,411764706;0,52984067;7,769392034;21,00760778;436;12,10130719;3,347798572;14,66363848;39,64891519;822,8888889;0,825259516;0,228306131;2,703893392;56,11764706;0,276647681;3,276415892;68;245,8;245,8;0,048182587;G
AHB;KBN;0,0194;0,1136;0,08646;0,244206667;0,018370588;0,005336842;0,0003;1,313902383;5,855670103;0,465179766;6,18379763;21,28599606;378,6666667;12,58797251;2,824504588;13,29335041;45,75864563;814,0222222;0,946937538;0,212474997;3,442220675;61,23529412;0,224381217;3,635108481;64,66666667;288,2;288,2;0,056213018;G
AHB;KBN;0,0191;0,1236;0,07626;0,251626667;0,015670588;0,005473684;0,0003;1,620771046;6,471204188;0,4912039;7,887387387;22,58076923;412;13,17417103;3,299589125;16,05725726;45,97025641;838,7555556;0,820449646;0,205488962;2,862895928;52,23529412;0,250458956;3,489423077;63,66666667;254,2;254,2;0,054807692;G
AHB;KBN;0,0203;0,1287;0,07068;0,253353333;0,016147059;0,005747368;0,0003;1,820882852;6,339901478;0,507986212;7,970491803;22,39285714;429;12,48045977;3,584512356;15,69037037;44,08162393;844,5111111;0,795421617;0,228453011;2,809469942;53,82352941;0,28720996;3,532051282;67,66666667;235,6;235,6;0,052197802;G
AHB;KBN;0,0204;0,1208;0,0861;0,246446667;0,018370588;0,005678947;0,0003;1,403019744;5,921568627;0,490166906;6,575728466;21,27154773;402,6666667;12,08071895;2,862330623;13,41528445;43,39654001;821,4888889;0,900519031;0,213363394;3,234857984;61,23529412;0,236933798;3,592215014;68;287;287;0,052826691;G
AHB;KBN;0,0202;0,1239;0,0828;0,24794;0,017788235;0,005747368;0,0003;1,496376812;6,133663366;0,499717674;6,965277778;21,55769231;413;12,27425743;2,994444444;13,93842593;43,13974359;826,4666667;0,880605708;0,21483376;3,095022624;59,29411765;0,243961353;3,514652015;67,33333333;276;276;0,052197802;G
AHB;KBN;0,0189;0,1145;0,07992;0,255873333;0,016941176;0,0052;0,0003;1,432682683;6,058201058;0,447487038;6,758680556;22,01923077;381,6666667;13,5382716;3,201618285;15,10363426;49,20641026;852,9111111;0,896358543;0,211976683;3,257918552;56,47058824;0,236486486;3,634615385;63;266,4;266,4;0,057692308;G
AHB;KBN;0,0194;0,1235;0,07518;0,24892;0,016782353;0,005678947;0,0003;1,642724129;6,365979381;0,496143339;7,358920435;21,74698795;411,6666667;12,83092784;3,310986965;14,83224676;43,83206673;829,7333333;0,865069739;0,223228956;2,955187265;55,94117647;0,258047353;3,416126043;64,66666667;250,6;250,6;0,052826691;G
AHB;KBN;0,0197;0,1205;0,07494;0,251113333;0,014452941;0,005542105;0,0003;1,607953029;6,116751269;0,47986301;8,337403337;21,74264008;401,6666667;12,74686971;3,350858465;17,37454891;45,31009813;837,0444444;0,733651836;0,19286017;2,607843137;48,17647059;0,262876968;3,554605888;65,66666667;249,8;249,8;0,054131054;G
AHB;KBN;0,0195;0,1223;0,07458;0,251393333;0,015511765;0,005610526;0,0003;1,639849826;6,271794872;0,486488637;7,884338263;21,79831144;407,6666667;12,89196581;3,370787521;16,20662369;44,80744215;837,9777778;0,795475113;0,207988264;2,764761064;51,70588235;0,2614642;3,475609756;65;248,6;248,6;0,053470919;G
AHB;KBN;0,0189;0,1251;0,08292;0,2394;0,020488235;0,005747368;0,0003;1,508683068;6,619047619;0,522556391;6,105943152;21,76648352;417;12,66666667;2,887120116;11,68475452;41,65384615;798;1,084033613;0,247084362;3,564802844;68,29411765;0,227930535;3,288461538;63;276,4;276,4;0,052197802;G
AHB;KBN;0,0193;0,1263;0,08964;0,23212;0,020223529;0,005747368;0,0003;1,40896921;6,544041451;0,544115113;6,245200698;21,97527473;421;12,02694301;2,589468987;11,4777196;40,38717949;773,7333333;1,047851265;0,225608316;3,51874596;67,41176471;0,215305667;3,358058608;64,33333333;298,8;298,8;0,052197802;G
AHB;KBN;0,0196;0,126;0,08472;0,237066667;0,020223529;0,005815789;0,0003;1,487252125;6,428571429;0,531496063;6,230366492;21,66515837;420;12,0952381;2,798237331;11,72231918;40,76259427;790,2222222;1,031812725;0,238710215;3,477348949;67,41176471;0,231350331;3,370135747;65,33333333;282,4;282,4;0,05158371;G
AHB;KBN;0,0195;0,1268;0,08616;0,232493333;0,020064706;0,005884211;0,0003;1,471680594;6,502564103;0,545391983;6,319554383;21,54919499;422,6666667;11,92273504;2,698390591;11,58717874;39,51138939;774,9777778;1,028959276;0,232877273;3,409923182;66,88235294;0,22632312;3,313953488;65;287,2;287,2;0,0509839;G
